id;jhi_type;title;jhi_date;end_date;jhi_time;start_time;distance;location
1;Plastic Movies;SMS;2019-05-17T15:55:06;2019-05-17T22:36:13;parse Customer Rhode Island;Accounts navigating Ergonomic;purple User-friendly;Savings Account
2;SMTP;Checking Account global Steel;2019-05-17T19:18:37;2019-05-17T23:28:19;Springs connecting;SAS;Planner Refined;engage Granite Grocery
3;bluetooth payment digital;Rubber Industrial seamless;2019-05-17T21:16:12;2019-05-17T20:08:54;Jamaica Unbranded;real-time Berkshire solid state;middleware Switzerland;Data Granite Configuration
4;compress Practical Steel Chips;Berkshire concept;2019-05-17T20:13:35;2019-05-17T21:30:59;robust;Granite Rubber;enable;deposit Chicken best-of-breed
5;RSS Buckinghamshire Officer;teal Licensed Wooden Pants;2019-05-18T04:44:30;2019-05-18T03:05:06;Movies;Granite Island;Regional;Bedfordshire
6;alliance Licensed Plaza;Sleek GB Regional;2019-05-18T09:57:43;2019-05-18T11:21:56;SAS;quantify;Manager;cultivate Bedfordshire
7;navigate Kiribati;bypass Games Customer-focused;2019-05-17T18:18:27;2019-05-17T18:56:09;connecting generate Music;Inlet Hungary Configurable;interface;Toys
8;overriding;internet solution;2019-05-18T08:33:13;2019-05-18T05:49:50;distributed Ranch impactful;Berkshire Awesome;pixel Pennsylvania;architectures Cotton
9;viral;payment Illinois dot-com;2019-05-17T11:45:06;2019-05-18T03:29:58;Integration Music;Pants;Avon;blue scalable Car
10;bypassing Sleek Steel Shirt Rand Namibia Dollar;Fresh incubate Agent;2019-05-17T14:39:21;2019-05-18T11:18:02;Engineer Bedfordshire feed;Assurance Nebraska Mississippi;synthesizing;silver
