id;street;jhi_number;zip_code;city
1;Troy Neck;revolutionize Branding;90535;East Doriston
2;Hirthe Field;Ergonomic Rubber Chicken;33655;New Emmaleebury
3;Alba Summit;open-source hybrid;11816;Maverickborough
4;Serenity Plaza;system;80348;Goyettemouth
5;Rohan Drives;multi-byte Producer;41261;West Deltamouth
6;Stroman Pass;Texas Managed Dobra;73990;Feilton
7;Kaden Isle;Buckinghamshire monetize;29763;Bradtkebury
8;Williamson Causeway;bypassing granular Usability;67676;Kshlerinmouth
9;Arnulfo Meadows;Gorgeous Money Market Account;55370;Craigmouth
10;Osvaldo Village;Wooden Optimization Associate;99593;Anabelview
